"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"49","Iraq","246932000000","160021001474","5856.3312","42164.9650"
"50","Peru","244163000000","192209529586","7248.5896","33684.2080"
"51","Greece","230500000000","192690813127","22342.5521","10316.6370"
"52","New Zealand","224943000000","187517098554","45923.5765","4898.2030"
"53","Qatar","204008000000","152451923077","68461.0131","2979.9150"
"54","Algeria","193056000000","159049145187","4257.0093","45350.1480"
"55","Hungary","177734000000","125816640421","18501.8955","9606.2590"
"56","Kazakhstan","177322000000","135005203998","9233.0957","19205.0430"
"57","Ukraine","147170000000","93270354852","3407.3343","43192.1220"
"58","Kuwait","142999000000","110346129191","32645.7437","4380.3260"
"59","Morocco","129056000000.0000","103606574896","3416.6424","37772.7560"
"60","Slovakia","117399000000","89768598023","21500.8883","5460.1930"
"61","Kenya","109116000000","70525979046","1941.0401","56215.2210"
"62","Ecuador","107730000000","98010212618","5947.5434","18113.3610"
"63","Puerto Rico","104117000000","105034500000","36792.9036","2829.8120"
"64","Ethiopia","99371000000","70314560872","822.5212","120812.6980"
"65","Angola","96426000000","106917535790","2752.8779","35027.3430"
"66","Dominican Republic","90459000000","71583585170","8181.6184","11056.3700"
"67","Sri Lanka","89942000000","81321970966","4168.6438","21575.8420"
"68","Guatemala","87629000000","68762920570","4715.2828","18584.0390"
"69","Oman","84158000000","63170959402","15807.3085","5323.9930"
"70","Panama","75494000000","55187800000","16976.5260","4446.9640"
"71","Luxembourg","73693000000","58631324559","114720.3096","642.3710"
"72","Ghana","72264000000","42793869465","2230.6836","32395.4500"
"73","Bulgaria","71746000000","53239643485","10482.1365","6844.5970"
"74","Myanmar","71403000000","65697616068","1292.8969","55227.1430"
"75","Venezuela","70106000000","291376437340","2395.3949","29266.9910"
"76","Tanzania","64888000000.0000","0","1025.1104","63298.5500"
"77","Croatia","64590000000","51231002611","15911.6653","4059.2860"
"78","Belarus","63664000000","47408111179","6749.2155","9432.8000"
"79","Costa Rica","63460000000","57435510668","12245.4004","5182.3540"
"80","Uruguay","63421000000","52419718459","18140.9353","3496.0160"
"81","Macau","62158000000","45311080521","93121.9943","667.4900"
"82","Lebanon","60620000000","50457653265","9068.2677","6684.8490"
"83","Slovenia","58213000000","44708598649","28013.4974","2078.0340"
"84","Lithuania","57602000000","42773029835","21640.9914","2661.7080"
"85","Turkmenistan","57059000000","36179885714","9200.1813","6201.9430"
"86","Serbia","56886000000","38299871897","6574.1240","8653.0160"
"87","Uzbekistan","55482000000","67778902435","1613.6893","34382.0840"
"88","DR Congo","52475000000","40337492609","550.9719","95240.7920"
"89","Libya","50424000000","42959534586","7161.7421","7040.7450"
"90","Ivory Coast","49882000000","36767790205","1798.0486","27742.2980"
"91","Azerbaijan","47429000000","37847204069","4604.6656","10300.2050"
"92","Bolivia","47052000000","33806395465","3923.4011","11992.6560"
"93","Jordan","46451000000","38654647887","4509.4254","10300.8690"
"94","Paraguay","45376000000","27165101909","6210.9191","7305.8430"
"95","Cameroon","42047000000","32217073816","1506.4374","27911.5480"
"96","Bahrain","40707000000","32179073596","22818.0425","1783.9830"
"97","Latvia","38102000000","27572698482","20608.6313","1848.8370"
"98","Tunisia","35150000000","41703561397","2917.8222","12046.6560"
"99","Uganda","33620000000.0000","25307842467","694.1568","48432.8630"
"100","Estonia","33235000000","23337920560","25141.6511","1321.9100"
"101","Nepal","33035000000.0000","20914004957","1092.9484","30225.5820"
"102","Yemen","31385000000","25374086438","1007.3867","31154.8670"
"103","Cambodia","29309000000","20016747858","1707.1243","17168.6390"
"104","El Salvador","28202000000","26797469656","4305.3932","6550.3890"
"105","Senegal","28062000000","14604520531","1589.5844","17653.6710"
"106","Iceland","26821000000","20269659972","77653.5714","345.3930"
"107","Cyprus","26348000000","20046234311","21536.9299","1223.3870"
"108","Zimbabwe","25812000000","16123763648","1683.6005","15331.4280"
"109","Honduras","25560000000","21516915353","2500.6734","10221.2470"
"110","Zambia","25272000000","21063063977","1297.9813","19470.2340"
"111","Trinidad and Tobago","23235000000","24086176564","16518.7315","1406.5850"
"112","Papua New Guinea","22114000000","19694115731","2379.8534","9292.1690"
"113","Laos","22013000000","15805707090","2942.5120","7481.0230"
"114","Bosnia and Herzegovina","21343000000","16909904149","6568.4573","3249.3170"
"115","Botswana","20873000000","15566057294","8550.4362","2441.1620"
"116","Afghanistan","20682000000","20235063330","507.4791","40754.3880"
"117","Mali","19332000000","14001696748","900.2614","21473.7640"
"118","Georgia","18888000000","14332728707","4759.1955","3968.7380"
"119","Gabon","17893000000","13863183526","7674.3499","2331.5330"
"120","Albania","17210000000","11863866791","6004.1013","2866.3740"
"121","Jamaica","16717000000.0000","14056901075","5600.1587","2985.0940"
"122","Malta","16338000000.0000","10998577038","36794.5626","444.0330"
"123","Mozambique","16294000000","10930131568","492.4226","33089.4610"
"124","Burkina Faso","16266000000.0000","11695117109","735.9236","22102.8380"
"125","Mauritius","15757000000","12216235024","12361.0781","1274.7270"
"126","Mongolia","14960000000","11160356685","4428.5538","3378.0780"
"127","Namibia","14627000000","10947277246","5553.4168","2633.8740"
"128","Brunei","14281000000","11400266878","32061.0824","445.4310"
